question_id,img_path,question,gt_answers,all_answers,answer,score
infoseek_val_00049872,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05028800.JPEG,What is the closest parent taxonomy of this animal?,['Ondatra'],['Ondatra'],The closest parent taxonomy of the muskrat is the family Cricetidae.,0.0
infoseek_val_00045368,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00001753.jpg,who/what operates this aircraft?,['BAW'],"['BAW', 'British Airways plc', 'Delta Air Lines, Inc', 'DAL', 'Delta Airlines', 'Delta Air Line', 'Delta Air lines', '@Delta', 'Delta Air Lines', 'Delta.com', 'DL', 'Delta Air Lines Incorporated', 'BA', 'Delta Air Lines, Inc.', 'Delta', 'Delta Air Lines Inc', 'British Airways', 'Delta (airline)', 'Delta Air Lines Inc.']","The aircraft in the image is operated by Continental Airlines, as indicated by the logo and livery on the plane.",0.0
infoseek_val_00028391,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009827.jpg,what is the date this aircraft took the first flight?,['29 July 1964'],"['29 July 1964', '29 7 1962', '7 29 1964', '1963 7 29', '1962 July 29', '1962', '29 7 1964', '7 29 1963', 'July 29 1964', '7 29 1962', '1964 7 29', '29 7 1963', '29 July 1963', '29 July 1962', '1964', '1963', 'July 29 1963', '1962 7 29', '1963 July 29', 'July 29 1962', '1964 July 29']",The Tupolev Tu-134 took its first flight on 20 November 1963.,0.0
infoseek_val_00043023,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05013638.jpg,In which year did this facility officially open?,['1932'],"['1932', '1934', '1933']",The Battersea Power Station officially opened in 1935.,0.0
infoseek_val_00063950,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05018982.jpg,What is the height of this island in metre?,['36.0'],[],"The height of the Confederation Bridge, which connects Prince Edward Island to New Brunswick, is approximately 40 meters above the water for most of its length, with a navigation span of 60 meters for ship traffic.",0.0
infoseek_val_00051662,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004139.jpg,What type of undercarriage is used in this aircraft?,['pontoon plane'],"['pontoon plane', 'float-equipped airplane', 'floatplane', 'float plane']",The aircraft in the image uses a fixed tricycle undercarriage.,0.0
infoseek_val_00027880,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004044.jpg,What type of undercarriage is used in this aircraft?,['pontoon plane'],"['pontoon plane', 'float-equipped airplane', 'floatplane', 'float plane']","The aircraft in the image, the de Havilland Canada DHC-6 Twin Otter, uses a fixed tricycle undercarriage.",0.0
infoseek_val_00036866,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009870.jpg,What is the total quantity of produced items for this type of aircraft?,['254.70000000000002'],[],The total quantity of Fokker 100 aircraft produced is 283.,0.0
infoseek_val_00025407,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00003954.jpg,Which country does this aircraft come from?,['British North America'],"['British North America', 'CA', 'Dominion of Canada', 'Canada', 'CAN']","The aircraft in the image is from Iceland, as indicated by the text ""FLUGFÉLAG ÍSLANDS"" on its side, which translates to ""Icelandic Airlines.""",0.0
infoseek_val_00037970,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05013630.jpg,What is the installed power capacity of this in megawatt?,['450.0'],[],The installed power capacity of Battersea Power Station is 509 megawatts (MW).,0.0
infoseek_val_00072898,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05013730.jpg,In which year did this building come into service?,['1866'],"['1866', '1865', '1867']","The building in the image is not the Niechorze Lighthouse, and the evidence provided does not specify the year in which the building in the image came into service. Therefore, I cannot answer the question based on the given information.",0.0
infoseek_val_00045322,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004209.jpg,In which year did this aircraft come into service?,['1967'],"['1967', '1968', '1969']","The de Havilland Canada DHC-6 Twin Otter came into service in 1965, following its first flight on May 20, 1965.",0.0
infoseek_val_00069002,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05015697.jpg,What is the sea level in metre of this mountain?,['1545.3'],[],"The sea level of Le Reculet, the mountain in question, is 1718 metres.",0.0
infoseek_val_00013011,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004611.jpg,Who found this aircraft?,['T. A. Wells'],"['T. A. Wells', 'Ted A. Wells', 'T. Arthur Wells', 'Ted Wells', 'Theodore Arthur Wells', 'Theodore Wells']","The image shows a Beechcraft aircraft, specifically a model associated with the Beechcraft brand, which has a rich history in aviation. However, the evidence provided does not specify who found this particular aircraft.",0.0
infoseek_val_00016162,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00001038.jpg,who/what operates this aircraft?,['BAW'],"['BAW', 'AAL', 'Compagnie Nationale Air France', 'Société Air France', 'TWA', 'British Airways plc', 'Societe Air France SA', 'Trans World Airlines, Inc.', 'Lufthansa German Airlines', 'Lufthansa', 'AF', 'SABENA', 'PAA', 'Pan American World', 'AA', 'Pan Am', 'American Airlines', 'Pan American World Airways Inc.', 'Air Charter International', 'Pan American World Airways', 'AMR Corporation', 'Atlas-Gruppe', 'Trans World Airlines, TWA', 'Societe Air France', 'American Airways', 'Deutsche Lufthansa Aktiengesellschaft', 'DLH', ""Societé Anonyme Belge d'Exploitation de la Navigation Aérienne"", 'Deutsche Lufthansa AG', 'Société Air France, S.A.', 'Pan-Am', 'Airfrance', 'Sabena', 'American Air Lines', 'BA', 'LH', 'PanAm', 'AIRFRANCE', 'British Airways', 'Belgian Corporation for Air Navigation Services', 'Continental Airlines', 'Air France', ""Société Aerienne Francaise d'Affretement"", 'Trans World Airlines', 'Deutsche Lufthansa', 'Cie Nationale Air France', 'American Airlines, Inc.', 'Pan American Airways', 'TWA Trans World Airlines']","The aircraft in the image is operated by Das Air Cargo, as indicated by the markings on the fuselage.",0.0
infoseek_val_00059050,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004129.jpg,What type of undercarriage is used in this aircraft?,['pontoon plane'],"['pontoon plane', 'float-equipped airplane', 'floatplane', 'float plane']","The aircraft in the image, the de Havilland Canada DHC-6 Twin Otter, uses a fixed tricycle undercarriage.",0.0
infoseek_val_00004131,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05002707.JPEG,What is the course type of this food?,['primo'],"['primo', 'first course']","The food in the image is a type of pasta dish, which can be classified as a main course.",0.0
infoseek_val_00069964,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00000688.jpg,who/what operates this aircraft?,['BAW'],"['BAW', 'British Airways plc', 'Delta Air Lines, Inc', 'DAL', 'Delta Airlines', 'Delta Air Line', 'Delta Air lines', '@Delta', 'Delta Air Lines', 'Delta.com', 'DL', 'Delta Air Lines Incorporated', 'BA', 'Delta Air Lines, Inc.', 'Delta', 'Delta Air Lines Inc', 'British Airways', 'Delta (airline)', 'Delta Air Lines Inc.']",The aircraft in the image is operated by United Airlines.,0.0
infoseek_val_00036844,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05013623.jpg,In which year did this facility officially open?,['1932'],"['1932', '1934', '1933']",The facility officially opened in 1935.,0.0
infoseek_val_00042854,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05064510.JPEG,What is the immediately prior item that this drink follows in a series?,['Allied Domecq'],"['Allied Domecq', ""Seagram's"", 'Joseph E. Seagram & Sons', 'Seagram Company Ltd.']",The immediately prior item that this drink follows in a series is absinthe.,0.0
infoseek_val_00031939,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05062885.JPEG,What is the country of origin of this food?,['Italy'],"['Italy', 'Italian Republic', '🇮🇹', 'Republic of Italy', 'Italia', 'Repubblica Italiana', 'ITA', 'IT']","The food in the image is likely Turkish delight, which originates from Turkey.",0.0
infoseek_val_00061034,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009727.jpg,What is the length in metre is the aircraft in the image?,['18.0'],[],"The length of the Embraer EMB 120 Brasilia, which is the aircraft shown in the image, is approximately 22.8 meters.",0.0
infoseek_val_00068423,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05024421.jpg,What is the area in hectare occupied by this building?,['1800.0'],[],The area occupied by Banteay Srei is approximately 0.5 hectares.,0.0
infoseek_val_00057981,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009779.jpg,who/what operates this aircraft?,['Russian Air Force'],"['Russian Air Force', 'Dobrolet', 'Russian Aerospace Forces', 'Aeroflot', 'PJSC Aeroflot – Russian Airlines', 'Aeroflot - Russian Airlines', 'Russian air force', 'Aeroflot - Russian International Airlines', 'PJSC Aeroflot']",The aircraft in the image is operated by Air Transport Europe.,0.0
infoseek_val_00034495,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05022000.jpg,How many elevators does this have?,['20.7'],[],"The building has 2 main elevators that serve the upper floors, with a separate lift that goes to the 39th floor.",0.0
infoseek_val_00061269,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05025727.jpg,What is this facility named after?,['Carmel River'],['Carmel River'],"The facility is named after Saint Charles Borromeo, the Archbishop of Milan, Italy. It is officially called Mission San Carlos Borromeo del Río Carmelo.",0.0
infoseek_val_00069981,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05025901.jpg,What is the street address of this building?,"[""'t Nijenhuis""]","[""'t Nijenhuis"", 'Blijmarkt']",I'm unable to provide the street address of the building in the image.,0.0
infoseek_val_00024124,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009826.jpg,What is the total quantity of produced items for this type of aircraft?,['768.6'],[],"A total of 854 Tupolev Tu-134 aircraft were built of all versions, including test bed examples.",0.0
infoseek_val_00055400,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009783.jpg,What is the length of the wingspan in metre of this aircraft?,['26.1'],[],The wingspan of the Tupolev Tu-134 is approximately 30 meters.,0.0
infoseek_val_00031016,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05022719.jpg,What is the sea level in metre of this lake?,['567.0'],[],The sea level of Lake Orestiada is 630 metres.,0.0
infoseek_val_00013957,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_04956237.jpg,On what date did this building officially open?,['October 16 1972'],"['October 16 1972', '1971 October 16', '1970', 'October 16 1971', '1972 10 16', '1972 October 16', '16 10 1970', 'October 16 1970', '16 October 1971', '16 October 1970', '16 10 1972', '16 October 1972', '1971', '10 16 1971', '1972', '1970 October 16', '10 16 1970', '16 10 1971', '10 16 1972', '1971 10 16', '1970 10 16']","The Azadi Tower officially opened to the public on January 14, 1972.",0.0
infoseek_val_00028310,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_04944527.jpg,On what date did this park officially open?,['2009'],"['2009', '3 22 2009', '2008 March 22', '2008 3 22', '3 22 2007', '2007 March 22', 'March 22 2009', '22 3 2007', '2007', 'March 22 2008', '22 3 2009', '22 March 2007', '2009 March 22', '2008', 'March 22 2007', '3 22 2008', '22 March 2009', '2009 3 22', '22 3 2008', '2007 3 22', '22 March 2008']","Nationals Park officially opened on March 30, 2008.",0.0
infoseek_val_00055729,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004204.jpg,What type of undercarriage is used in this aircraft?,['pontoon plane'],"['pontoon plane', 'float-equipped airplane', 'floatplane', 'float plane']",The aircraft in the image uses a fixed tricycle undercarriage.,0.0
infoseek_val_00029198,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05025855.jpg,Which significant event was held in this bridge?,['construction'],"['construction', 'building', 'ISIC F', 'construction work', 'NACE F', 'building construction']","The significant event associated with Charles Bridge is the laying of the first stone on 9 July 1357 by King Charles IV. This moment was considered important due to its alignment with numerology, as the date and time formed a palindrome, which Charles IV believed would imbue the bridge with additional strength.",0.0
infoseek_val_00017416,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_04950432.jpg,What is the parent organization of this aircraft?,['Hawker Siddeley'],"['Hawker Siddeley', 'Hawker Siddeley Group Limited', 'Hawker Siddeley Aircraft Co.']","The parent organization of the aircraft in the image is De Havilland Aircraft Company Limited, which is known for producing the Dash 8 series, including the model depicted.",0.0
infoseek_val_00020004,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009685.jpg,What is the length in metre is the aircraft in the image?,['18.0'],[],"The length of the Embraer EMB 120 Brasilia, which is the aircraft shown in the image, is approximately 22.8 meters.",0.0
infoseek_val_00017653,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_04979503.JPEG,Which country does this object come from?,['U K'],"['U K', 'Great Britain', 'Britain', 'The United Kingdom of Great Britain and Northern Ireland', 'Great Britain and Northern Ireland', 'Unitit Kinrick o Greet Britain an Norlin Airlann', 'G.B.', 'U. K.', 'Rìoghachd Aonaichte', 'U.K.', '🇬🇧', 'G. B.', 'G B', 'Unitit Kinrick', 'GBR', 'The UK', 'Rìoghachd Aonaichte na Breatainn Mhòr agus Eirinn a Tuath', 'GB', 'United Kingdom', 'G.B.R.', 'G B R', 'An Ríocht Aontaithe', 'United Kingdom of Great Britain and Northern Ireland', 'UK']","The object in the image, the Welsh Corgi, comes from Wales.",0.0
infoseek_val_00027318,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05015074.jpg,Which historic county does this bridge belong to?,['Surrey'],['Surrey'],The bridge belongs to the historic county of London.,0.0
infoseek_val_00035777,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00001656.jpg,who/what operates this aircraft?,['BAW'],"['BAW', 'British Airways plc', 'Delta Air Lines, Inc', 'DAL', 'Delta Airlines', 'Delta Air Line', 'Delta Air lines', '@Delta', 'Delta Air Lines', 'Delta.com', 'DL', 'Delta Air Lines Incorporated', 'BA', 'Delta Air Lines, Inc.', 'Delta', 'Delta Air Lines Inc', 'British Airways', 'Delta (airline)', 'Delta Air Lines Inc.']","The aircraft in the image is operated by Continental Airlines, as indicated by the ""Continental"" logo on its fuselage.",0.0
infoseek_val_00048451,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05029509.JPEG,What is the closest parent taxonomy of this plant?,['silver'],"['silver', 'Veronica']",The closest parent taxonomy of the plant in the image is the family **Plantaginaceae**.,0.0
